sent_idx,id,source,model,family,n_words,n_diac,tokens_nd,fertility_nd,unk_nd,scr_nd,tokens_d,fertility_d,unk_d,scr_d,delta_tokens,inflation
5506,139832,unknown_local_sample,xlmr,Multilingual,35,10,55,1.5714285714285714,0,0.21818181818181817,60,1.7142857142857142,0,0.26666666666666666,5,0.09090909090909091
5506,139832,unknown_local_sample,mt5,Multilingual,35,10,62,1.7714285714285714,0,0.1206896551724138,65,1.8571428571428572,0,0.16393442622950818,3,0.04838709677419355
5506,139832,unknown_local_sample,rembert,Multilingual,35,10,57,1.6285714285714286,0,0.17543859649122806,60,1.7142857142857142,0,0.26666666666666666,3,0.05263157894736842
5506,139832,unknown_local_sample,ro_bert,Monolingual,35,10,45,1.2857142857142858,0,0.15555555555555556,46,1.3142857142857143,0,0.1956521739130435,1,0.022222222222222223
5506,139832,unknown_local_sample,robert,Monolingual,35,10,58,1.6571428571428573,0,0.1724137931034483,58,1.6571428571428573,0,0.1724137931034483,0,0.0
5507,171493,unknown_local_sample,mbert,Multilingual,27,8,60,2.2222222222222223,0,0.2833333333333333,62,2.2962962962962963,0,0.2903225806451613,2,0.03333333333333333
5507,171493,unknown_local_sample,xlmr,Multilingual,27,8,50,1.8518518518518519,0,0.22,50,1.8518518518518519,0,0.22,0,0.0
5507,171493,unknown_local_sample,mt5,Multilingual,27,8,57,2.111111111111111,0,0.2830188679245283,60,2.2222222222222223,0,0.2727272727272727,3,0.05263157894736842
5507,171493,unknown_local_sample,rembert,Multilingual,27,8,54,2.0,0,0.24074074074074073,55,2.037037037037037,0,0.2545454545454545,1,0.018518518518518517
5507,171493,unknown_local_sample,ro_bert,Monolingual,27,8,50,1.8518518518518519,0,0.28,48,1.7777777777777777,0,0.2708333333333333,-2,-0.04
5507,171493,unknown_local_sample,robert,Monolingual,27,8,51,1.8888888888888888,0,0.23529411764705882,51,1.8888888888888888,0,0.23529411764705882,0,0.0
5508,386910,unknown_local_sample,mbert,Multilingual,23,9,51,2.217391304347826,0,0.2549019607843137,51,2.217391304347826,0,0.2549019607843137,0,0.0
5508,386910,unknown_local_sample,xlmr,Multilingual,23,9,44,1.9130434782608696,0,0.20454545454545456,44,1.9130434782608696,0,0.18181818181818182,0,0.0
5508,386910,unknown_local_sample,mt5,Multilingual,23,9,48,2.0869565217391304,0,0.2608695652173913,48,2.0869565217391304,0,0.2222222222222222,0,0.0
5508,386910,unknown_local_sample,rembert,Multilingual,23,9,43,1.8695652173913044,0,0.23255813953488372,43,1.8695652173913044,0,0.20930232558139536,0,0.0
5508,386910,unknown_local_sample,ro_bert,Monolingual,23,9,42,1.826086956521739,0,0.2619047619047619,42,1.826086956521739,0,0.2619047619047619,0,0.0
5508,386910,unknown_local_sample,robert,Monolingual,23,9,46,2.0,0,0.2826086956521739,45,1.9565217391304348,0,0.26666666666666666,-1,-0.021739130434782608
5509,340777,unknown_local_sample,mbert,Multilingual,9,4,14,1.5555555555555556,0,0.21428571428571427,16,1.7777777777777777,0,0.4375,2,0.14285714285714285
5509,340777,unknown_local_sample,xlmr,Multilingual,9,4,14,1.5555555555555556,0,0.21428571428571427,14,1.5555555555555556,0,0.21428571428571427,0,0.0
5509,340777,unknown_local_sample,mt5,Multilingual,9,4,14,1.5555555555555556,0,0.2857142857142857,16,1.7777777777777777,0,0.3333333333333333,2,0.14285714285714285
5509,340777,unknown_local_sample,rembert,Multilingual,9,4,14,1.5555555555555556,0,0.21428571428571427,15,1.6666666666666667,0,0.3333333333333333,1,0.07142857142857142
5509,340777,unknown_local_sample,ro_bert,Monolingual,9,4,13,1.4444444444444444,0,0.23076923076923078,13,1.4444444444444444,0,0.23076923076923078,0,0.0
5509,340777,unknown_local_sample,robert,Monolingual,9,4,14,1.5555555555555556,0,0.2857142857142857,13,1.4444444444444444,0,0.23076923076923078,-1,-0.07142857142857142
5510,221131,unknown_local_sample,mbert,Multilingual,12,6,26,2.1666666666666665,0,0.3076923076923077,27,2.25,0,0.37037037037037035,1,0.038461538461538464
5510,221131,unknown_local_sample,xlmr,Multilingual,12,6,23,1.9166666666666667,0,0.2608695652173913,22,1.8333333333333333,0,0.22727272727272727,-1,-0.043478260869565216
5510,221131,unknown_local_sample,mt5,Multilingual,12,6,23,1.9166666666666667,0,0.2608695652173913,29,2.4166666666666665,0,0.34615384615384615,6,0.2608695652173913
5510,221131,unknown_local_sample,rembert,Multilingual,12,6,23,1.9166666666666667,0,0.34782608695652173,25,2.0833333333333335,0,0.375,2,0.08695652173913043
5510,221131,unknown_local_sample,ro_bert,Monolingual,12,6,19,1.5833333333333333,0,0.15789473684210525,19,1.5833333333333333,0,0.15789473684210525,0,0.0
5510,221131,unknown_local_sample,robert,Monolingual,12,6,20,1.6666666666666667,0,0.3,20,1.6666666666666667,0,0.3,0,0.0
5511,368958,unknown_local_sample,mbert,Multilingual,18,3,38,2.111111111111111,0,0.15789473684210525,39,2.1666666666666665,0,0.1794871794871795,1,0.02631578947368421
5511,368958,unknown_local_sample,xlmr,Multilingual,18,3,34,1.8888888888888888,0,0.14705882352941177,37,2.0555555555555554,0,0.1891891891891892,3,0.08823529411764706
5511,368958,unknown_local_sample,mt5,Multilingual,18,3,39,2.1666666666666665,0,0.25,41,2.2777777777777777,0,0.23684210526315788,2,0.05128205128205128
5511,368958,unknown_local_sample,rembert,Multilingual,18,3,32,1.7777777777777777,0,0.15625,34,1.8888888888888888,0,0.20588235294117646,2,0.0625
5511,368958,unknown_local_sample,ro_bert,Monolingual,18,3,29,1.6111111111111112,0,0.13793103448275862,29,1.6111111111111112,0,0.13793103448275862,0,0.0
5511,368958,unknown_local_sample,robert,Monolingual,18,3,31,1.7222222222222223,0,0.1935483870967742,30,1.6666666666666667,0,0.16666666666666666,-1,-0.03225806451612903
5512,375724,unknown_local_sample,mbert,Multilingual,9,5,17,1.8888888888888888,0,0.23529411764705882,19,2.111111111111111,0,0.3157894736842105,2,0.11764705882352941
5512,375724,unknown_local_sample,xlmr,Multilingual,9,5,15,1.6666666666666667,0,0.2,17,1.8888888888888888,0,0.11764705882352941,2,0.13333333333333333
5512,375724,unknown_local_sample,mt5,Multilingual,9,5,17,1.8888888888888888,0,0.25,21,2.3333333333333335,0,0.2631578947368421,4,0.23529411764705882
5512,375724,unknown_local_sample,rembert,Multilingual,9,5,15,1.6666666666666667,0,0.13333333333333333,17,1.8888888888888888,0,0.17647058823529413,2,0.13333333333333333
5512,375724,unknown_local_sample,ro_bert,Monolingual,9,5,14,1.5555555555555556,0,0.07142857142857142,13,1.4444444444444444,0,0.07692307692307693,-1,-0.07142857142857142
5512,375724,unknown_local_sample,robert,Monolingual,9,5,13,1.4444444444444444,0,0.07692307692307693,13,1.4444444444444444,0,0.15384615384615385,0,0.0
5513,65938,unknown_local_sample,mbert,Multilingual,11,3,20,1.8181818181818181,0,0.3,19,1.7272727272727273,0,0.3157894736842105,-1,-0.05
5513,65938,unknown_local_sample,xlmr,Multilingual,11,3,18,1.6363636363636365,0,0.3333333333333333,18,1.6363636363636365,0,0.3333333333333333,0,0.0
5513,65938,unknown_local_sample,mt5,Multilingual,11,3,20,1.8181818181818181,0,0.35294117647058826,20,1.8181818181818181,0,0.29411764705882354,0,0.0
5513,65938,unknown_local_sample,rembert,Multilingual,11,3,18,1.6363636363636365,0,0.29411764705882354,17,1.5454545454545454,0,0.3125,-1,-0.05555555555555555
5513,65938,unknown_local_sample,ro_bert,Monolingual,11,3,17,1.5454545454545454,0,0.35294117647058826,17,1.5454545454545454,0,0.35294117647058826,0,0.0
5513,65938,unknown_local_sample,robert,Monolingual,11,3,18,1.6363636363636365,0,0.3333333333333333,18,1.6363636363636365,0,0.3333333333333333,0,0.0
5514,182461,unknown_local_sample,mbert,Multilingual,11,5,21,1.9090909090909092,0,0.38095238095238093,22,2.0,0,0.4090909090909091,1,0.047619047619047616
5514,182461,unknown_local_sample,xlmr,Multilingual,11,5,20,1.8181818181818181,0,0.4,21,1.9090909090909092,0,0.42857142857142855,1,0.05
5514,182461,unknown_local_sample,mt5,Multilingual,11,5,22,2.0,0,0.42857142857142855,22,2.0,0,0.42857142857142855,0,0.0
5514,182461,unknown_local_sample,rembert,Multilingual,11,5,21,1.9090909090909092,0,0.42857142857142855,21,1.9090909090909092,0,0.42857142857142855,0,0.0
5514,182461,unknown_local_sample,ro_bert,Monolingual,11,5,16,1.4545454545454546,0,0.3125,17,1.5454545454545454,0,0.35294117647058826,1,0.0625
5514,182461,unknown_local_sample,robert,Monolingual,11,5,16,1.4545454545454546,0,0.3125,17,1.5454545454545454,0,0.35294117647058826,1,0.0625
