sent_idx,model,family,n_words,n_diac,tokens_nd,fertility_nd,unk_nd,scr_nd,tokens_d,fertility_d,unk_d,scr_d,delta_tokens,inflation
8406,ro_bert,Monolingual,13,4,21,1.6153846153846154,0,0.23809523809523808,20,1.5384615384615385,0,0.2,-1,-0.047619047619047616
8406,robert,Monolingual,13,4,22,1.6923076923076923,0,0.18181818181818182,21,1.6153846153846154,0,0.19047619047619047,-1,-0.045454545454545456
8407,mbert,Multilingual,15,10,28,1.8666666666666667,0,0.07142857142857142,35,2.3333333333333335,0,0.2571428571428571,7,0.25
8407,xlmr,Multilingual,15,10,26,1.7333333333333334,0,0.07692307692307693,32,2.1333333333333333,0,0.21875,6,0.23076923076923078
8407,ro_bert,Monolingual,15,10,26,1.7333333333333334,0,0.07692307692307693,26,1.7333333333333334,0,0.07692307692307693,0,0.0
8407,robert,Monolingual,15,10,23,1.5333333333333334,0,0.043478260869565216,25,1.6666666666666667,0,0.04,2,0.08695652173913043
8408,mbert,Multilingual,17,11,37,2.176470588235294,0,0.21621621621621623,46,2.7058823529411766,0,0.391304347826087,9,0.24324324324324326
8408,xlmr,Multilingual,17,11,36,2.1176470588235294,0,0.2777777777777778,43,2.5294117647058822,0,0.32558139534883723,7,0.19444444444444445
8408,ro_bert,Monolingual,17,11,33,1.9411764705882353,0,0.24242424242424243,32,1.8823529411764706,0,0.28125,-1,-0.030303030303030304
8408,robert,Monolingual,17,11,33,1.9411764705882353,0,0.24242424242424243,31,1.8235294117647058,0,0.22580645161290322,-2,-0.06060606060606061
8409,mbert,Multilingual,4,1,9,2.25,0,0.3333333333333333,10,2.5,0,0.4,1,0.1111111111111111
8409,xlmr,Multilingual,4,1,8,2.0,0,0.25,9,2.25,0,0.3333333333333333,1,0.125
8409,ro_bert,Monolingual,4,1,8,2.0,0,0.25,8,2.0,0,0.25,0,0.0
8409,robert,Monolingual,4,1,8,2.0,0,0.375,8,2.0,0,0.375,0,0.0
8410,mbert,Multilingual,12,4,24,2.0,0,0.20833333333333334,25,2.0833333333333335,0,0.2,1,0.041666666666666664
8410,xlmr,Multilingual,12,4,18,1.5,0,0.1111111111111111,19,1.5833333333333333,0,0.10526315789473684,1,0.05555555555555555
8410,ro_bert,Monolingual,12,4,19,1.5833333333333333,0,0.21052631578947367,18,1.5,0,0.2222222222222222,-1,-0.05263157894736842
8410,robert,Monolingual,12,4,22,1.8333333333333333,0,0.22727272727272727,22,1.8333333333333333,0,0.22727272727272727,0,0.0
8411,mbert,Multilingual,40,9,61,1.525,0,0.19672131147540983,63,1.575,0,0.19047619047619047,2,0.03278688524590164
8411,xlmr,Multilingual,40,9,58,1.45,0,0.20689655172413793,60,1.5,0,0.2,2,0.034482758620689655
8411,ro_bert,Monolingual,40,9,45,1.125,0,0.1111111111111111,44,1.1,0,0.11363636363636363,-1,-0.022222222222222223
8411,robert,Monolingual,40,9,56,1.4,0,0.14285714285714285,56,1.4,0,0.14285714285714285,0,0.0
8412,mbert,Multilingual,16,6,33,2.0625,0,0.36363636363636365,32,2.0,0,0.40625,-1,-0.030303030303030304
8412,xlmr,Multilingual,16,6,28,1.75,0,0.35714285714285715,28,1.75,0,0.32142857142857145,0,0.0
8412,ro_bert,Monolingual,16,6,25,1.5625,0,0.4,25,1.5625,0,0.4,0,0.0
8412,robert,Monolingual,16,6,27,1.6875,0,0.4444444444444444,26,1.625,0,0.4230769230769231,-1,-0.037037037037037035
8413,mbert,Multilingual,12,4,16,1.3333333333333333,0,0.0625,16,1.3333333333333333,0,0.125,0,0.0
8413,xlmr,Multilingual,12,4,15,1.25,0,0.06666666666666667,16,1.3333333333333333,0,0.125,1,0.06666666666666667
8413,ro_bert,Monolingual,12,4,14,1.1666666666666667,0,0.07142857142857142,14,1.1666666666666667,0,0.07142857142857142,0,0.0
8413,robert,Monolingual,12,4,14,1.1666666666666667,0,0.07142857142857142,14,1.1666666666666667,0,0.07142857142857142,0,0.0
8414,mbert,Multilingual,29,10,45,1.5517241379310345,0,0.2222222222222222,51,1.7586206896551724,0,0.2549019607843137,6,0.13333333333333333
8414,xlmr,Multilingual,29,10,40,1.3793103448275863,0,0.175,43,1.4827586206896552,0,0.18604651162790697,3,0.075
8414,ro_bert,Monolingual,29,10,39,1.3448275862068966,0,0.23076923076923078,38,1.3103448275862069,0,0.21052631578947367,-1,-0.02564102564102564
8414,robert,Monolingual,29,10,41,1.4137931034482758,0,0.2682926829268293,40,1.3793103448275863,0,0.25,-1,-0.024390243902439025
8415,mbert,Multilingual,27,8,60,2.2222222222222223,0,0.2833333333333333,62,2.2962962962962963,0,0.2903225806451613,2,0.03333333333333333
8415,xlmr,Multilingual,27,8,50,1.8518518518518519,0,0.22,50,1.8518518518518519,0,0.22,0,0.0
8415,ro_bert,Monolingual,27,8,50,1.8518518518518519,0,0.28,48,1.7777777777777777,0,0.2708333333333333,-2,-0.04
8415,robert,Monolingual,27,8,51,1.8888888888888888,0,0.23529411764705882,51,1.8888888888888888,0,0.23529411764705882,0,0.0
8416,mbert,Multilingual,22,7,43,1.9545454545454546,0,0.18604651162790697,47,2.1363636363636362,0,0.1702127659574468,4,0.09302325581395349
8416,xlmr,Multilingual,22,7,35,1.5909090909090908,0,0.08571428571428572,37,1.6818181818181819,0,0.10810810810810811,2,0.05714285714285714
8416,ro_bert,Monolingual,22,7,31,1.4090909090909092,0,0.12903225806451613,28,1.2727272727272727,0,0.14285714285714285,-3,-0.0967741935483871
8416,robert,Monolingual,22,7,34,1.5454545454545454,0,0.17647058823529413,33,1.5,0,0.18181818181818182,-1,-0.029411764705882353
8417,mbert,Multilingual,19,6,30,1.5789473684210527,0,0.23333333333333334,33,1.736842105263158,0,0.2727272727272727,3,0.1
8417,xlmr,Multilingual,19,6,29,1.5263157894736843,0,0.2413793103448276,32,1.6842105263157894,0,0.28125,3,0.10344827586206896
8417,ro_bert,Monolingual,19,6,27,1.4210526315789473,0,0.2222222222222222,27,1.4210526315789473,0,0.2222222222222222,0,0.0
8417,robert,Monolingual,19,6,26,1.368421052631579,0,0.2692307692307692,25,1.3157894736842106,0,0.28,-1,-0.038461538461538464
8418,mbert,Multilingual,23,7,40,1.7391304347826086,0,0.2,41,1.7826086956521738,0,0.1951219512195122,1,0.025
8418,xlmr,Multilingual,23,7,34,1.4782608695652173,0,0.23529411764705882,36,1.565217391304348,0,0.19444444444444445,2,0.058823529411764705
8418,ro_bert,Monolingual,23,7,31,1.3478260869565217,0,0.22580645161290322,30,1.3043478260869565,0,0.23333333333333334,-1,-0.03225806451612903
8418,robert,Monolingual,23,7,34,1.4782608695652173,0,0.23529411764705882,34,1.4782608695652173,0,0.2647058823529412,0,0.0
8419,mbert,Multilingual,5,0,10,2.0,0,0.1,10,2.0,0,0.1,0,0.0
8419,xlmr,Multilingual,5,0,10,2.0,0,0.1,10,2.0,0,0.1,0,0.0
8419,ro_bert,Monolingual,5,0,8,1.6,0,0.125,8,1.6,0,0.125,0,0.0
8419,robert,Monolingual,5,0,9,1.8,0,0.2222222222222222,9,1.8,0,0.2222222222222222,0,0.0
8420,mbert,Multilingual,33,10,69,2.090909090909091,1,0.14705882352941177,69,2.090909090909091,1,0.1323529411764706,0,0.0
8420,xlmr,Multilingual,33,10,54,1.6363636363636365,0,0.1111111111111111,55,1.6666666666666667,0,0.09090909090909091,1,0.018518518518518517
8420,ro_bert,Monolingual,33,10,44,1.3333333333333333,0,0.13636363636363635,40,1.2121212121212122,0,0.125,-4,-0.09090909090909091
8420,robert,Monolingual,33,10,54,1.6363636363636365,0,0.14814814814814814,53,1.606060606060606,0,0.1320754716981132,-1,-0.018518518518518517
8421,mbert,Multilingual,6,1,11,1.8333333333333333,0,0.45454545454545453,12,2.0,0,0.5,1,0.09090909090909091
8421,xlmr,Multilingual,6,1,10,1.6666666666666667,0,0.5,12,2.0,0,0.5454545454545454,2,0.2
8421,ro_bert,Monolingual,6,1,10,1.6666666666666667,0,0.5,10,1.6666666666666667,0,0.5,0,0.0
8421,robert,Monolingual,6,1,10,1.6666666666666667,0,0.5,10,1.6666666666666667,0,0.6,0,0.0
8422,mbert,Multilingual,12,4,24,2.0,0,0.20833333333333334,25,2.0833333333333335,0,0.2,1,0.041666666666666664
8422,xlmr,Multilingual,12,4,18,1.5,0,0.1111111111111111,19,1.5833333333333333,0,0.10526315789473684,1,0.05555555555555555
8422,ro_bert,Monolingual,12,4,19,1.5833333333333333,0,0.21052631578947367,18,1.5,0,0.2222222222222222,-1,-0.05263157894736842
8422,robert,Monolingual,12,4,22,1.8333333333333333,0,0.22727272727272727,22,1.8333333333333333,0,0.22727272727272727,0,0.0
8423,mbert,Multilingual,9,5,17,1.8888888888888888,0,0.17647058823529413,21,2.3333333333333335,0,0.38095238095238093,4,0.23529411764705882
8423,xlmr,Multilingual,9,5,15,1.6666666666666667,0,0.2,18,2.0,0,0.3333333333333333,3,0.2
8423,ro_bert,Monolingual,9,5,14,1.5555555555555556,0,0.14285714285714285,15,1.6666666666666667,0,0.13333333333333333,1,0.07142857142857142
8423,robert,Monolingual,9,5,14,1.5555555555555556,0,0.21428571428571427,15,1.6666666666666667,0,0.2,1,0.07142857142857142
8424,mbert,Multilingual,13,5,22,1.6923076923076923,0,0.22727272727272727,25,1.9230769230769231,0,0.32,3,0.13636363636363635
8424,xlmr,Multilingual,13,5,19,1.4615384615384615,0,0.3333333333333333,21,1.6153846153846154,0,0.3,2,0.10526315789473684
8424,ro_bert,Monolingual,13,5,16,1.2307692307692308,0,0.1875,16,1.2307692307692308,0,0.1875,0,0.0
8424,robert,Monolingual,13,5,17,1.3076923076923077,0,0.23529411764705882,17,1.3076923076923077,0,0.23529411764705882,0,0.0
8425,mbert,Multilingual,26,10,42,1.6153846153846154,1,0.17073170731707318,45,1.7307692307692308,1,0.18181818181818182,3,0.07142857142857142
8425,xlmr,Multilingual,26,10,36,1.3846153846153846,0,0.19444444444444445,39,1.5,0,0.20512820512820512,3,0.08333333333333333
8425,ro_bert,Monolingual,26,10,36,1.3846153846153846,0,0.25,34,1.3076923076923077,0,0.23529411764705882,-2,-0.05555555555555555
8425,robert,Monolingual,26,10,39,1.5,0,0.3076923076923077,39,1.5,0,0.3076923076923077,0,0.0
8426,mbert,Multilingual,12,6,25,2.0833333333333335,0,0.28,24,2.0,0,0.25,-1,-0.04
8426,xlmr,Multilingual,12,6,19,1.5833333333333333,0,0.2631578947368421,19,1.5833333333333333,0,0.21052631578947367,0,0.0
